ID,名称,销售数量,Steam价格,最低售价,价格比例
36052,P250 | 死亡轮回 (崭新出厂),141,13.61,62.99,4.628214548126378
34717,FN57 | 表面淬火 (略有磨损),717,15.46,75.5,4.883570504527813
927345,USP 消音版 | 沙漠战术 (略有磨损),287,0.4,2.08,5.2
43999,USP 消音版 | 蓝图 (久经沙场),900,6.67,29.9,4.482758620689655
42007,Tec-9 | 冰冠 (久经沙场),583,0.26,1.38,5.3076923076923075
921556,Tec-9（StatTrak™） | 叛逆 (略有磨损),147,0.42,2.35,5.595238095238096
900565,USP 消音版 | 印花集 (崭新出厂),375,178.25,938,5.262272089761571
773669,P250 | 炼狱小镇 (略有磨损),89,1.68,7.97,4.7440476190476195
34994,格洛克 18 型 | 蓝色裂纹 (久经沙场),272,2.81,13.27,4.722419928825622
956603,USP 消音版（StatTrak™） | 破颚者 (略有磨损),80,35.91,188.23,5.241715399610137
900534,R8 左轮手枪 | 疯狂老八 (久经沙场),859,0.6,3.26,5.433333333333334
956630,宙斯 X27 电击枪（StatTrak™） | 奥林匹斯 (崭新出厂),130,55.13,297.5,5.396335933248685
968119,R8 左轮手枪 | 探戈 (略有磨损),195,0.5,2.91,5.82
871196,格洛克 18 型 | 伽玛多普勒 (崭新出厂),725,100.05,524,5.237381309345327
45296,R8 左轮手枪 | 稳 (崭新出厂),224,0.52,2.07,3.9807692307692304
956630,宙斯 X27 电击枪（StatTrak™） | 奥林匹斯 (崭新出厂),130,55.13,297.5,5.396335933248685
968119,R8 左轮手枪 | 探戈 (略有磨损),195,0.5,2.91,5.82
871196,格洛克 18 型 | 伽玛多普勒 (崭新出厂),725,100.05,524,5.237381309345327
45296,R8 左轮手枪 | 稳 (崭新出厂),224,0.52,2.07,3.9807692307692304
39226,P2000（StatTrak™） | 红色碎片迷彩 (崭新出厂),47,7.7,39.75,5.162337662337662
900632,双持贝瑞塔（StatTrak™） | 食人花 (略有磨损),157,2.66,13.55,5.093984962406015
34401,沙漠之鹰 | 阴谋者 (略有磨损),1602,10.26,51.19,4.989278752436647
968104,P250 | 随便玩玩 (久经沙场),392,0.97,5.45,5.618556701030928
921483,格洛克 18 型（StatTrak™） | 圆影玉兔 (久经沙场),292,1.39,6.89,4.956834532374101
900568,双持贝瑞塔 | 食人花 (破损不堪),280,0.52,2.88,5.538461538461538
835451,双持贝瑞塔 | 街头抢匪 (略有磨损),148,0.63,3.65,5.7936507936507935
835331,Tec-9 | 凤凰涂鸦 (久经沙场),130,0.58,3.44,5.931034482758621
39274,P250（StatTrak™） | 涟漪 (略有磨损),126,0.98,4.76,4.857142857142857
34780,FN57 | 朝枪夕拾 (久经沙场),198,1.11,6.52,5.873873873873873
779309,沙漠之鹰（StatTrak™） | 蓝色层压板 (破损不堪),147,1.21,5.86,4.8429752066115705
762142,P250 | 交换机 (久经沙场),326,0.23,1.31,5.695652173913044
34483,沙漠之鹰 | 都市瓦砾 (破损不堪),133,0.46,2.8,6.08695652173913
775790,双持贝瑞塔 | 翡翠色调 (崭新出厂),90,41.41,214,5.1678338565563875
35943,P2000 | 至尊威龙 (久经沙场),196,4.44,22.89,5.155405405405405
900612,格洛克 18 型（StatTrak™） | 冬季战术 (破损不堪),105,0.25,1.08,4.32
